==== 대한민국 ====
// 수도(특별시): 5x5코어, 광역시/특별자치시/특별자치도(청 소재지): 4x4코어, 나머지 7도 도청 소재지: 3x3코어
서울특별시(Seoul Special City)[서울특별시](495,517)
인천광역시(Incheon Metropolitan City)[인천광역시](475.5,508.5)
대구광역시(Daegu Metropolitan City)[대구광역시](598.5,398.5)
대전광역시(Daejeon Metropolitan City)[대전광역시](519.5,430.5)
광주광역시(Gwangju Metropolitan City)[광주광역시](477.5,351.5)
부산광역시(Busan Metropolitan City)[부산광역시](637.5,356.5)
울산광역시(Ulsan Metropolitan City)[울산광역시](648.5,378.5)
세종특별자치시(Sejong Special Self-Governing City)[세종특별자치시](511,447)
수원시(Suwon City)[수원시](494.5,495.5) - 경기도
청주시(Cheongju City)[청주시](527.5,459.5) - 충청북도
홍성군(Hongseong County)[홍성군](470.5,447.5) - 충청남도
전주시(Jeonju City)[전주시](508.5,397.5) - 전라북도
무안군(Muan County)[무안군](464.5,342.5) - 전라남도
안동시(Andong City)[안동시](611.5,447.5) - 경상북도
창원시(Changwon City)[창원시](603.5,354.5) - 경상남도
춘천시(Chuncheon City)[춘천시](544.5,539.5) - 강원특별자치도
제주시(Jeju City)[제주시](459.5,235.5) - 제주특별자치도

==== 조선민주주의인민공화국 ====
// 수도(직할시): 5x5코어, 3개 특별시: 4x4코어, 나머지 9도 도청 소재지: 3x3코어
평양시(Pyongyang City)[평양직할시](397,625)
남포시(Nampho City)[남포특별시](380.5,597.5)
개성시(Kaesŏng City)[개성특별시](466.5,541.5)
라선시(Rasŏn City)[라선특별시](720.5,835.5)
함흥시(Hamhŭng City)[함흥시](534.5,679.5) - 함경남도
청진시(Chŏngjin City)[청진시](681.5,803.5) - 함경북도
혜산시(Hyesan City)[혜산시](580,772) - 량강도
평성시(Phyŏngsŏng City)[평성시](408.5,635.5) - 평안남도
신의주시(Sinŭiju City)[신의주시](324.5,688.5) - 평안북도
강계시(Kanggye City)[강계시](467,746) - 자강도
해주시(Haeju City)[해주시](404.5,546.5) - 황해남도
사리원시(Sariwŏn City)[사리원시](403.5,580.5) - 황해북도
원산시(Wŏnsan City)[원산시](516.5,622) - 강원도

==== 중화인민공화국(화둥 지방, 둥베이 지방) ====
// 성급행정구(직할시): 5x5코어, 지급행정구(부성급시): 4x4코어, 나머지 44지급시/1자치주: 3x3코어
沈阳市(Shenyang City)[선양시](248.5,799.5) - 랴오닝성
大连市(Dalian City)[다롄시](128.5,604.5) - 랴오닝성
鞍山市(Anshan City)[안산시](221.5,762.5) - 랴오닝성
抚顺市(Fushun City)[푸순시](288.5,800.5) - 랴오닝성
本溪市(Benxi City)[번시시](273.5,774.5) - 랴오닝성
丹东市(Dandong City)[단둥시](313.5,683.5) - 랴오닝성
锦州市(Jinzhou City)[진저우시](99.5,759.5) - 랴오닝성
营口市(Yingkou City)[잉커우시](175.5,723.5) - 랴오닝성
阜新市(Fuxin City)[푸신시](139.5,822.5) - 랴오닝성
辽阳市(Liaoyang City)[랴오양시](235.5,772.5) - 랴오닝성
盘锦市(Panjin City)[판진시](168.5,761.5) - 랴오닝성
铁岭市(Tieling City)[톄링시](280.5,837.5) - 랴오닝성
朝阳市(Chaoyang City)[차오양시](51.5,788.5) - 랴오닝성
葫芦岛市(Huludao City)[후루다오시](72.5,728.5) - 랴오닝성

兴安盟(Hinggan League)[싱안맹](170.5,1093.5) - 내몽골자치주
通辽市(Tongliao City)[퉁랴오시](176.5,933.5) - 내몽골자치주
呼伦贝尔市(Hulunbuir City)[후룬베이얼시](2.5,1311.5) - 내몽골자치주

长春市(Changchun City)[창춘시](352.5,949.5) - 지린성
吉林市(Jilin City)[지린시](464.5,950.5) - 지린성 
四平市(Siping City)[쓰핑시](322.5,895.5) - 지린성
辽源市(Liaoyuan City)[랴오위안시](367.5,878.5) - 지린성
通化市(Tonghua City)[퉁화시](418,801) - 지린성
白山市(Baishan City)[바이산시](455,819) - 지린성
松原市(Songyuan City)[쑹위안시](342.5,1030.5) - 지린성
白城市(Baicheng City)[바이청시](214.5,1065.5) - 지린성
延边朝鲜族自治州(Yanbian Korean Autonomous Prefecture)[연변 조선족 자치주](665.5,875.5) - 지린성

哈尔滨市(Harbin City)[하얼빈시](473.5,1073.5) - 헤이룽장성
齐齐哈尔市(Qiqihar City)[치치하얼시](307.5,1185.5) - 헤이룽장성
鸡西市(Jixi City)[지시시](761.5,1037.5) - 헤이룽장성
鹤岗市(Hegang City)[허강시](719.5,1184.5) - 헤이룽장성
双鸭山市(Shuangyashan City)[솽야산시](764.5,1144.5) - 헤이룽장성
大庆市(Daqing City)[다칭시](362.5,1146.5) - 헤이룽장성
伊春市(Yichun City)[이춘시](619.5,1212.5) - 헤이룽장성
佳木斯市(Jiamusi City)[자무쓰시](720.5,1146.5) - 헤이룽장성
七台河市(Qitaihe City)[치타이허시](762.5,1075.5) - 헤이룽장성
牡丹江市(Mudanjiang City)[무단장시](670.5,985.5) - 헤이룽장성
黑河市(Heihe City)[헤이허시](522.5,1372.5) - 헤이룽장성
绥化市(Suihua City)[쑤이화시](488.5,1145.5) - 헤이룽장성

上海市(Shanghai Municipality)[상하이시](120,81)

青岛市(Qingdao City)[칭다오시](42.5,414.5) - 산둥성
